Retail_SOHStoreNumber;Retail_SOHSKU;Retail_SOHQTY
9999999;8779540000;3
9999999;8631580003;2
9999999;8687580000;3
9999999;8176470000;3
9999999;8383550000;5
9999999;8139210000;5
