data;store_id;sku;qty
29/06/2022;9999999;959839022045;6;
29/06/2022;9999999;887168CM2044;1;
29/06/2022;9999999;944146632032;1;
29/06/2022;9999999;952361620413;2;
29/06/2022;9999999;960359F42215;4;
29/06/2022;9999999;951683320322;1;
29/06/2022;9999999;951163020315;8;
29/06/2022;9999999;795493862043;1;
29/06/2022;9999999;952429022036;1;
29/06/2022;9999999;958975022025;1;
29/06/2022;9999999;949175042029;1;
29/06/2022;9999999;951056022051;1;
29/06/2022;9999999;954643020393;1;
29/06/2022;9999999;9544629N2025;1;
29/06/2022;9999999;957535022031;2;
29/06/2022;9999999;957766022039;1;
29/06/2022;9999999;948240RJ0360;5;
29/06/2022;9999999;956467290426;1;
29/06/2022;9999999;9586383W2035;1;
29/06/2022;9999999;957530022036;1;
29/06/2022;9999999;951056022020;1;
29/06/2022;9999999;949190OC2059;2;
29/06/2022;9999999;951100020101;1;
29/06/2022;9999999;955007324980;1;
29/06/2022;9999999;952361310420;1;
29/06/2022;9999999;9492623X2038;1;
29/06/2022;9999999;931803622031;3;
29/06/2022;9999999;949120020386;1;
29/06/2022;9999999;951162020361;1;
29/06/2022;9999999;958749NF2051;1;
29/06/2022;9999999;957344042213;2;
29/06/2022;9999999;958993452033;2;
29/06/2022;9999999;952368253348;1;
29/06/2022;9999999;936974580395;1;
29/06/2022;9999999;923751Q40380;2;
29/06/2022;9999999;949190OC2028;5;
29/06/2022;9999999;958991292020;1;
29/06/2022;9999999;954642NE0442;1;
29/06/2022;9999999;958993452040;2;
29/06/2022;9999999;958975022049;1;
29/06/2022;9999999;953696U42031;1;
29/06/2022;9999999;959840022027;2;
29/06/2022;9999999;951180352215;7;
29/06/2022;9999999;958991292037;1;
29/06/2022;9999999;951163020308;6;
29/06/2022;9999999;948240RJ0377;2;
29/06/2022;9999999;951039022047;3;
29/06/2022;9999999;958993452057;1;
29/06/2022;9999999;958975022056;1;
29/06/2022;9999999;9586360P2052;1;
29/06/2022;9999999;951951020398;1;
29/06/2022;9999999;958991292044;1;
29/06/2022;9999999;951673510405;2;
29/06/2022;9999999;9544641B2029;3;
29/06/2022;9999999;954641840429;3;
29/06/2022;9999999;893138052023;3;
29/06/2022;9999999;955007325321;1;
29/06/2022;9999999;9595980P2036;2;
29/06/2022;9999999;954989589226;1;
29/06/2022;9999999;958678FE2047;2;
29/06/2022;9999999;947290022056;2;
29/06/2022;9999999;957520022053;2;
29/06/2022;9999999;948906012058;1;
29/06/2022;9999999;936974580401;1;
29/06/2022;9999999;964327FP2027;1;
29/06/2022;9999999;949190OC2035;4;
29/06/2022;9999999;795493862036;1;
29/06/2022;9999999;948909022030;1;
29/06/2022;9999999;952101022033;1;
29/06/2022;9999999;951221312048;2;
29/06/2022;9999999;959690022048;1;
29/06/2022;9999999;951039022030;3;
29/06/2022;9999999;959187450392;1;
29/06/2022;9999999;9564673X0394;1;
29/06/2022;9999999;953696U42024;1;
29/06/2022;9999999;954512010395;1;
29/06/2022;9999999;929657000006;6;
29/06/2022;9999999;9647492R2027;2;
