data;store_id;sku;qty
15/06/2019;999999;9393829E0362;1;
15/06/2019;7006;500441000008;4;
15/06/2019;7006;500757002055;1;
15/06/2019;7006;506214692029;1;
15/06/2019;7006;509788000009;90;
15/06/2019;7006;512114001519;72;
15/06/2019;7006;512115000009;1;
15/06/2019;7006;512115001525;31;
15/06/2019;7006;512116001531;7;
15/06/2019;7006;512117003138;11;
15/06/2019;7006;512118000006;1;
15/06/2019;7006;512120000001;968;
15/06/2019;7006;512120020009;357;
15/06/2019;7006;512120040007;85;
15/06/2019;7006;512120060005;130;
15/06/2019;7006;512120EZ0004;132;
15/06/2019;7006;513125CL0402;1;
15/06/2019;7006;513125Z60397;1;
15/06/2019;7006;515128000004;1;
15/06/2019;7006;515376020007;4;
15/06/2019;7006;516696120002;1;
15/06/2019;7006;517310120002;1;
15/06/2019;7006;517312000005;14;
15/06/2019;7006;519439012022;333;
15/06/2019;7006;519439012039;450;
15/06/2019;7006;519439012046;292;
15/06/2019;7006;519439022021;59;
15/06/2019;7006;519439022038;14;
15/06/2019;7006;519439022045;23;
15/06/2019;7006;519439042029;1;
15/06/2019;7006;519439042036;1;
15/06/2019;7006;519439042043;11;
15/06/2019;7006;519439062027;1;
15/06/2019;7006;521258022021;550;
15/06/2019;7006;521258022038;1039;
15/06/2019;7006;521258022045;1102;
15/06/2019;7006;521258022052;510;
15/06/2019;7006;521258G02037;1;
15/06/2019;7006;521589010001;7;
15/06/2019;7006;521764010000;8;
15/06/2019;7006;521764020009;13;
15/06/2019;7006;522013810006;1;
15/06/2019;7006;522601010375;1;
15/06/2019;7006;522601010382;1;
15/06/2019;7006;522601010399;1;
15/06/2019;7006;522601010443;1;
15/06/2019;7006;522601060394;1;
15/06/2019;7006;522615000003;1;
15/06/2019;7006;524971020004;1;
15/06/2019;7006;5272422Y2023;273;
15/06/2019;7006;5272422Y2047;4;
15/06/2019;7006;5272422Y2054;2;
15/06/2019;7006;527242G02021;1;
15/06/2019;7006;528559000000;167;
15/06/2019;7006;529475000006;1;
15/06/2019;7006;529533012156;1;
15/06/2019;7006;531200020005;7;
15/06/2019;7006;531200030004;1;
15/06/2019;7006;531200NM0006;4;
15/06/2019;7006;531202020003;1;
15/06/2019;7006;531202050000;5;
15/06/2019;7006;531202EZ0008;30;
15/06/2019;7006;531223022024;2;
15/06/2019;7006;531223022031;2;
15/06/2019;7006;531223022048;7;
15/06/2019;7006;531223022055;3;
15/06/2019;7006;531571000002;1;
15/06/2019;7006;532775052040;1;
15/06/2019;7006;532846290418;1;
15/06/2019;7006;533356000009;1;
15/06/2019;7006;533498000004;1;
15/06/2019;7006;533501000007;2;
15/06/2019;7006;534674582031;1;
15/06/2019;7006;534712000008;205;
15/06/2019;7006;534712020006;205;
15/06/2019;7006;534712040004;-4;
15/06/2019;7006;534712060002;-2;
