Thing Type Code,Thing Serial,Thing Name,Owner Group,Alias Config,Retail_ClassCode,Retail_ClassName,Retail_Color,Retail_DepartmentName,Retail_DepartmentCode,Retail_Dimension,Retail_ExternalSKU,Retail_ImageURL,Retail_IsRFID,Retail_Manufacturer,Retail_SKU,Retail_SKUOriginal,Retail_UOM,Retail_SKUDescription,Retail_Style,Retail_SubClassCode,Retail_SubClassName,Retail_GTIN,Retail_CompanyPrefix,Retail_Size,Retail_Brand,Retail_BusinessGroupName,Retail_BusinessGroupCode,Retail_SalesFloorTargetQty,Retail_FloorPadDesc,Retail_FloorPadID,Retail_GTINPosition_3_7,Retail_RangeActiveInd,Retail_RangeEnd,Retail_RangeStart,Retail_Active,Retail_PutAwayCode,Retail_BoxID,Retail_WideorRegularInd,tsMongoIn,source,tsCoreIn,tsEdgeIn,ViZix_Unused,Retail_MajorClassId,Retail_CustomerStyleId,Retail_MajorClassCode,Retail_MajorClassName,Retail_GTINPosition_2_8,Retail_GTINPosition_9_13,Retail_UPCNumber,Retail_FileName,Retail_Brand_Code,Retail_Style_Code,Retail_Weight_Gross_Unit,Retail_Weight_Gross_Value,Retail_Weight_Net_Unit,Retail_Weight_Net_Value,Retail_Update_Time,Retail_Option_Code,Retail_Option_Label,Retail_Season_Code,Retail_Season_Label,Retail_Season_Madein_Code,Retail_Season_Madein_Label,Retail_Mate_Bundle,Retail_Extension,Retail_Price,Retail_VPN,Retail_Product_Code,Retail_Recommendations,Retail_Color_Code,Retail_Size_Code,Retail_ImageURLDesktop,Retail_ImageURLMobile,minLifespanFromArrival,minLifespanFromProduction,minLifespanFromTimeOfPacking,expiringDaysBeforeExpiration,Retail_PriceOriginal,Retail_GTINOriginal,Retail_SKUDescriptionFull
PRODUCT,00093966005721,00093966005721,>QAIKEA2,,,Sauces,GREEN,,,,,,false,,00093966005721,00093966005721,,5721,Organic Valley Chocolate 1% serve 24 Pack,5721,Sauces5721,00093966005721,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.621-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.525-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00093966005721,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00093966005721,Sauces5721
PRODUCT,00399820025806,00399820025806,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820025806,00399820025806,,5806,13064A50- 64oz. round cater bowl,5806,Supplies5806,00399820025806,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.708-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.628-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00399820025806,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820025806,Supplies5806
PRODUCT,00399820024434,00399820024434,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820024434,00399820024434,,4434,12032T300- 32oz. round cater bowl,4434,Supplies4434,00399820024434,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.691-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.602-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00399820024434,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820024434,Supplies4434
PRODUCT,00399820163966,00399820163966,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820163966,00399820163966,,3966,400507PCMG- Kids meal insert,3966,Supplies3966,00399820163966,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.736-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.655-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00399820163966,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820163966,Supplies3966
PRODUCT,00399820123670,00399820123670,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820123670,00399820123670,,3670,576OSL- lid for 32oz. rectangle clear container,3670,Supplies3670,00399820123670,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.695-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.564-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00399820123670,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820123670,Supplies3670
PRODUCT,00399820164192,00399820164192,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820164192,00399820164192,,4192,401007PCMG- Kids meal tray,4192,Supplies4192,00399820164192,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.651-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.514-0400,2021-04-16T11:41:00.157-0400,,,,,,,,00399820164192,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820164192,Supplies4192
PRODUCT,00399820344136,00399820344136,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00399820344136,00399820344136,,4136,497BBPCMGN- Pulp burrito bowl(340ct.),4136,Supplies4136,00399820344136,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.744-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.672-0400,2021-04-16T11:41:00.158-0400,,,,,,,,00399820344136,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00399820344136,Supplies4136
PRODUCT,00761010114667,00761010114667,>QAIKEA2,,,Fruits/Vegetables,GREEN,,,,,,false,,00761010114667,00761010114667,,4667,LG Avo Hass 84,4667,Fruits/Vegetables4667,00761010114667,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.950-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.852-0400,2021-04-21T15:19:00.235-0400,,,,,,,,00761010114667,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00761010114667,Fruits/Vegetables4667
PRODUCT,00643831000544,00643831000544,>QAIKEA2,,,Dairy,GREEN,,,,,,false,,00643831000544,00643831000544,,0544,40# Monterey Jack Custom For Shred,0544,Dairy0544,00643831000544,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.662-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.564-0400,2021-04-16T11:41:00.158-0400,,,,,,,,00643831000544,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00643831000544,Dairy0544
PRODUCT,00749384982860,00749384982860,>QAIKEA2,,,Supplies,GREEN,,,,,,false,,00749384982860,00749384982860,,2860,65174-015,2860,Supplies2860,00749384982860,,Case,,Store,,,,,,,,,,,,,2021-05-05T15:23:32.700-0400,FTPBRIDGEPRODUCTS,2021-05-05T15:23:32.609-0400,2021-04-21T15:19:00.231-0400,,,,,,,,00749384982860,,,,,,,,,,,,,,,,,"[{""value"":1,""currency"":""USD"",""location"":""usa""}]",,,,GREEN,Case,,,,,,,1,00749384982860,Supplies2860
