data;store_id;sku;qty;
15/03/2019;9999999;500135003230;6;
15/03/2019;9999999;500140003089;16;
15/03/2019;9999999;500141003095;1;
15/03/2019;9999999;500142003100;1;
15/03/2019;9999999;500143003116;3;
15/03/2019;9999999;500144003122;6;
15/03/2019;9999999;503350003139;2;
15/03/2019;9999999;512114001519;1;
15/03/2019;9999999;519439022021;6;
15/03/2019;9999999;519439022038;8;
15/03/2019;9999999;519439022045;8;
15/03/2019;9999999;527242G02038;1;
15/03/2019;9999999;527242G02045;1;
15/03/2019;9999999;527242U82021;1;
15/03/2019;9999999;528559000000;9;
15/03/2019;9999999;531200020005;14;
15/03/2019;9999999;531200NM0006;14;
15/03/2019;9999999;535801000008;13;
15/03/2019;9999999;541410000001;7;
15/03/2019;9999999;541745100001;1;
15/03/2019;9999999;541745180003;1;
15/03/2019;9999999;548044031876;10;
15/03/2019;9999999;548044031890;9;
15/03/2019;9999999;548044031906;8;
15/03/2019;9999999;548044031913;19;
15/03/2019;9999999;548044031920;10;
15/03/2019;9999999;548044031937;12;
15/03/2019;9999999;548044031951;8;
15/03/2019;9999999;548044051874;9;
15/03/2019;9999999;548044051898;10;
15/03/2019;9999999;548044051904;10;
15/03/2019;9999999;548044051911;9;
15/03/2019;9999999;548044051928;10;
15/03/2019;9999999;548044051942;7;
15/03/2019;9999999;548044051959;8;
15/03/2019;9999999;548044051966;7;
15/03/2019;9999999;548045031776;7;
15/03/2019;9999999;548056032236;15;
15/03/2019;9999999;548056032243;13;
15/03/2019;9999999;548056032250;8;
15/03/2019;9999999;548056032267;11;
15/03/2019;9999999;548056032281;18;
15/03/2019;9999999;548056032298;25;
15/03/2019;9999999;548056032311;20;
15/03/2019;9999999;548056032328;19;
15/03/2019;9999999;548056032335;8;
15/03/2019;9999999;548056032342;18;
15/03/2019;9999999;548056032359;9;
15/03/2019;9999999;548056032373;19;
15/03/2019;9999999;548056032380;20;
15/03/2019;9999999;548056032397;8;
15/03/2019;9999999;548056032403;19;
15/03/2019;9999999;548056032410;17;
15/03/2019;9999999;548056032427;14;
15/03/2019;9999999;548056032434;18;
15/03/2019;9999999;548056032441;20;
15/03/2019;9999999;548056032458;19;
15/03/2019;9999999;548056032465;16;
15/03/2019;9999999;548056032472;19;
15/03/2019;9999999;548056052234;20;
15/03/2019;9999999;548056052241;19;
15/03/2019;9999999;548056052258;8;
15/03/2019;9999999;548056052265;16;
15/03/2019;9999999;548056052272;20;
15/03/2019;9999999;548056052289;9;
15/03/2019;9999999;548056052296;20;
15/03/2019;9999999;548056052302;15;
15/03/2019;9999999;548056052319;17;
15/03/2019;9999999;548056052326;15;
15/03/2019;9999999;548056052333;11;
15/03/2019;9999999;548056052340;35;
15/03/2019;9999999;548056052357;8;
15/03/2019;9999999;548056052371;19;
15/03/2019;9999999;548056052388;14;
15/03/2019;9999999;548056052395;11;
15/03/2019;9999999;548056052401;14;
15/03/2019;9999999;548056052418;14;
15/03/2019;9999999;548056052425;15;
15/03/2019;9999999;548056052432;20;
15/03/2019;9999999;548056052456;20;
15/03/2019;9999999;548056052470;20;
15/03/2019;9999999;548798321872;2;
15/03/2019;9999999;548798321889;1;
15/03/2019;9999999;548798321902;10;
15/03/2019;9999999;548798321919;10;
15/03/2019;9999999;548798321926;10;
15/03/2019;9999999;548798321933;9;
15/03/2019;9999999;548798321940;7;
15/03/2019;9999999;548798321957;10;
15/03/2019;9999999;548798321964;6;
15/03/2019;9999999;548810022220;9;
15/03/2019;9999999;548810022237;15;
15/03/2019;9999999;548810022244;20;
15/03/2019;9999999;548810022251;11;
15/03/2019;9999999;548810022268;20;
15/03/2019;9999999;548810022275;20;
15/03/2019;9999999;548810022282;20;
15/03/2019;9999999;548810022299;20;
15/03/2019;9999999;548810022305;13;
15/03/2019;9999999;548810022312;20;
15/03/2019;9999999;548810022329;20;
15/03/2019;9999999;548810022336;14;
15/03/2019;9999999;548810022343;20;
15/03/2019;9999999;548810022350;20;
15/03/2019;9999999;548810022367;20;
15/03/2019;9999999;548810022374;20;
15/03/2019;9999999;548810022381;20;
15/03/2019;9999999;548810022398;19;
15/03/2019;9999999;548810022404;40;
15/03/2019;9999999;548810022411;20;
15/03/2019;9999999;548810022428;20;
15/03/2019;9999999;548810022435;20;
15/03/2019;9999999;548810022442;19;
15/03/2019;9999999;548810022459;20;
15/03/2019;9999999;548810022466;20;
15/03/2019;9999999;548851241901;10;
15/03/2019;9999999;548851241918;9;
15/03/2019;9999999;548851241932;10;
15/03/2019;9999999;548851241956;18;
15/03/2019;9999999;548851241963;12;
15/03/2019;9999999;548863242224;9;
15/03/2019;9999999;548863242231;39;
15/03/2019;9999999;548863242248;46;
15/03/2019;9999999;548863242255;35;
15/03/2019;9999999;548863242279;51;
15/03/2019;9999999;548863242286;45;
15/03/2019;9999999;548863242293;40;
15/03/2019;9999999;548863242309;13;
15/03/2019;9999999;548863242316;48;
15/03/2019;9999999;548863242323;48;
15/03/2019;9999999;548863242347;20;
15/03/2019;9999999;548863242378;20;
15/03/2019;9999999;548863242385;58;
15/03/2019;9999999;548863242408;18;
15/03/2019;9999999;548863242415;30;
15/03/2019;9999999;548863242446;38;
15/03/2019;9999999;548863242453;59;
15/03/2019;9999999;548863242460;20;
15/03/2019;9999999;548863242477;58;
15/03/2019;9999999;548868021879;2;
15/03/2019;9999999;548868021886;3;
15/03/2019;9999999;548868021893;16;
15/03/2019;9999999;548868021909;18;
15/03/2019;9999999;548868021916;17;
15/03/2019;9999999;548868021923;17;
15/03/2019;9999999;548868021930;20;
15/03/2019;9999999;548868021954;14;
15/03/2019;9999999;548868021961;11;
15/03/2019;9999999;548880012237;20;
15/03/2019;9999999;548880012374;19;
15/03/2019;9999999;548880012442;18;
15/03/2019;9999999;548880022236;16;
15/03/2019;9999999;548880022243;9;
15/03/2019;9999999;548880022250;11;
15/03/2019;9999999;548880022281;12;
15/03/2019;9999999;548880022298;7;
15/03/2019;9999999;548880022304;3;
15/03/2019;9999999;548880022311;18;
15/03/2019;9999999;548880022328;19;
15/03/2019;9999999;548880022359;20;
15/03/2019;9999999;548880022373;17;
15/03/2019;9999999;548880022380;16;
15/03/2019;9999999;548880022403;8;
15/03/2019;9999999;548880022410;10;
15/03/2019;9999999;548880022434;20;
15/03/2019;9999999;548880022441;20;
15/03/2019;9999999;548880022458;20;
15/03/2019;9999999;548880022465;20;
15/03/2019;9999999;548880022472;20;
15/03/2019;9999999;548902071877;8;
15/03/2019;9999999;548902071884;1;
15/03/2019;9999999;548902071907;9;
15/03/2019;9999999;548902071914;10;
15/03/2019;9999999;548902071921;10;
15/03/2019;9999999;548902071938;9;
15/03/2019;9999999;548902071945;6;
15/03/2019;9999999;548902071952;9;
15/03/2019;9999999;548902071969;5;
15/03/2019;9999999;548904072230;20;
15/03/2019;9999999;548904072247;15;
15/03/2019;9999999;548904072261;9;
15/03/2019;9999999;548904072278;20;
15/03/2019;9999999;548904072285;20;
15/03/2019;9999999;548904072292;20;
15/03/2019;9999999;548904072308;4;
15/03/2019;9999999;548904072315;17;
15/03/2019;9999999;548904072322;20;
15/03/2019;9999999;548904072339;20;
15/03/2019;9999999;548904072346;20;
15/03/2019;9999999;548904072353;20;
15/03/2019;9999999;548904072360;8;
15/03/2019;9999999;548904072377;20;
15/03/2019;9999999;548904072384;20;
15/03/2019;9999999;548904072391;8;
15/03/2019;9999999;548904072407;20;
15/03/2019;9999999;548904072414;20;
15/03/2019;9999999;548904072421;9;
15/03/2019;9999999;548904072438;20;
15/03/2019;9999999;548904072445;21;
15/03/2019;9999999;548904072452;20;
15/03/2019;9999999;548904072469;20;
15/03/2019;9999999;548904072476;20;
15/03/2019;9999999;703104EZ0008;1;
15/03/2019;9999999;706062020009;3;
15/03/2019;9999999;7060625G0009;1;
15/03/2019;9999999;706990022021;1;
15/03/2019;9999999;706990022038;2;
15/03/2019;9999999;706990022045;1;
15/03/2019;9999999;706990022052;1;
15/03/2019;9999999;706990052028;1;
15/03/2019;9999999;707135000003;16;
15/03/2019;9999999;7109873I0006;2;
15/03/2019;9999999;7109873U0004;3;
15/03/2019;9999999;711426810004;21;
15/03/2019;9999999;720411040005;12;
15/03/2019;9999999;7204113K0009;4;
15/03/2019;9999999;726628230000;4;
15/03/2019;9999999;726648310009;15;
15/03/2019;9999999;726648Q20004;15;
15/03/2019;9999999;726664040007;1;
15/03/2019;9999999;726664140004;3;
15/03/2019;9999999;726664830004;18;
15/03/2019;9999999;726664EZ0004;4;
15/03/2019;9999999;726664NM0000;8;
15/03/2019;9999999;7275725D0009;5;
15/03/2019;9999999;727588D10004;3;
15/03/2019;9999999;727588KS0005;3;
15/03/2019;9999999;727591020001;1;
15/03/2019;9999999;727591250002;4;
15/03/2019;9999999;727591NM0002;-1;
15/03/2019;9999999;733586022165;1;
15/03/2019;9999999;733586022172;3;
15/03/2019;9999999;733586022189;1;
15/03/2019;9999999;733586042163;1;
15/03/2019;9999999;741566020001;9;
15/03/2019;9999999;741566XX0005;1;
15/03/2019;9999999;741743022026;7;
15/03/2019;9999999;741743022033;8;
15/03/2019;9999999;741743022040;7;
15/03/2019;9999999;741743022057;4;
15/03/2019;9999999;741743052023;5;
15/03/2019;9999999;741743052030;3;
15/03/2019;9999999;741769022024;2;
15/03/2019;9999999;741769022031;1;
15/03/2019;9999999;741769022055;2;
15/03/2019;9999999;742387022021;3;
15/03/2019;9999999;742387022038;6;
15/03/2019;9999999;742387022045;5;
15/03/2019;9999999;742387022052;3;
15/03/2019;9999999;742387052028;1;
15/03/2019;9999999;742387052035;2;
15/03/2019;9999999;742387052042;2;
15/03/2019;9999999;742387052059;1;
15/03/2019;9999999;743748192049;3;
15/03/2019;9999999;743748292022;2;
15/03/2019;9999999;743748332032;4;
15/03/2019;9999999;744860000007;72;
15/03/2019;9999999;745542022027;2;
15/03/2019;9999999;745542022034;1;
15/03/2019;9999999;745542022041;3;
15/03/2019;9999999;745542022058;1;
15/03/2019;9999999;745542052024;2;
15/03/2019;9999999;745542052031;2;
15/03/2019;9999999;745542052048;2;
15/03/2019;9999999;745542052055;2;
15/03/2019;9999999;751038020008;1;
