data;store_id;sku;qty
03/08/2019;0000144;854701NM2028;3;
03/08/2019;9999999;500141003095;4;
03/08/2019;9999999;500142003100;5;
03/08/2019;9999999;500143003116;1;
03/08/2019;9999999;500144003122;4;
03/08/2019;9999999;503350003139;3;
03/08/2019;9999999;509788000009;6;
03/08/2019;9999999;512115001525;1;
03/08/2019;9999999;512116001531;1;
03/08/2019;9999999;512117003138;3;
03/08/2019;9999999;512120020009;1;
03/08/2019;9999999;515128000004;1;
03/08/2019;9999999;519439012022;1;
03/08/2019;9999999;519439012039;2;
03/08/2019;9999999;519439012046;2;
03/08/2019;9999999;519439022021;7;
03/08/2019;9999999;519439022038;9;
03/08/2019;9999999;519439022045;8;
03/08/2019;9999999;521258022021;5;
03/08/2019;9999999;521258022038;16;
03/08/2019;9999999;521258022045;17;
03/08/2019;9999999;521258022052;8;
03/08/2019;9999999;5272422Y2023;2;
03/08/2019;9999999;528559000000;7;
03/08/2019;9999999;531202050000;5;
03/08/2019;9999999;531202EZ0008;1;
03/08/2019;9999999;534712000008;1;
03/08/2019;9999999;534712020006;1;
03/08/2019;9999999;534712040004;1;
03/08/2019;9999999;5351430J0421;3;
03/08/2019;9999999;5351430J0445;1;
03/08/2019;9999999;5351430R0382;3;
03/08/2019;9999999;5351430R0399;1;
03/08/2019;9999999;5351430R0405;4;
03/08/2019;9999999;5351430R0412;4;
03/08/2019;9999999;5351430R0429;3;
03/08/2019;9999999;5351430R0436;3;
03/08/2019;9999999;5351430R0443;1;
03/08/2019;9999999;5351432Y0396;1;
03/08/2019;9999999;5351432Y0402;2;
03/08/2019;9999999;5351432Y0419;12;
03/08/2019;9999999;5351432Y0426;5;
03/08/2019;9999999;5351432Y0433;3;
03/08/2019;9999999;5351432Y0440;1;
03/08/2019;9999999;535801000008;2;
03/08/2019;9999999;540942020006;2;
03/08/2019;9999999;541410000001;13;
03/08/2019;9999999;541745020002;1;
03/08/2019;9999999;541745LZ0006;1;
03/08/2019;9999999;703104020003;2;
03/08/2019;9999999;703104050006;1;
03/08/2019;9999999;703104100002;1;
03/08/2019;9999999;706062020009;1;
03/08/2019;9999999;706062XR0009;1;
03/08/2019;9999999;706990022021;2;
03/08/2019;9999999;706990022038;3;
03/08/2019;9999999;706990022045;3;
03/08/2019;9999999;706990022052;2;
03/08/2019;9999999;7109873I0006;2;
03/08/2019;9999999;711426810004;4;
03/08/2019;9999999;726628230000;2;
03/08/2019;9999999;726664140004;14;
03/08/2019;9999999;726664830004;19;
03/08/2019;9999999;726664EZ0004;14;
03/08/2019;9999999;726665510004;1;
03/08/2019;9999999;726665OX0005;2;
03/08/2019;9999999;727588KS0005;2;
03/08/2019;9999999;727592690005;2;
03/08/2019;9999999;7322942R3031;1;
03/08/2019;9999999;732294BK3034;3;
03/08/2019;9999999;733641012179;12;
03/08/2019;9999999;733641012186;6;
03/08/2019;9999999;734493020004;2;
03/08/2019;9999999;741566020001;2;
03/08/2019;9999999;741743042024;1;
03/08/2019;9999999;741743052023;11;
03/08/2019;9999999;741743NF2022;14;
03/08/2019;9999999;741769022024;1;
03/08/2019;9999999;741769022031;4;
03/08/2019;9999999;741769022048;1;
03/08/2019;9999999;742387022038;4;
03/08/2019;9999999;742387022045;2;
03/08/2019;9999999;742387022052;2;
03/08/2019;9999999;743748192049;1;
03/08/2019;9999999;744860000007;3;
03/08/2019;9999999;745077420004;1;
03/08/2019;9999999;745542052031;2;
03/08/2019;9999999;7491363X2041;1;
03/08/2019;9999999;7510383K0004;1;
03/08/2019;9999999;751487012214;4;
03/08/2019;9999999;751487022213;6;
03/08/2019;9999999;751487032218;24;
03/08/2019;9999999;751487042217;4;
