Thing Type Code,Thing Serial,Thing Name,Owner Group,Alias Config,Retail_ClassCode,Retail_ClassName,Retail_Color,Retail_DepartmentName,Retail_DepartmentCode,Retail_Dimension,Retail_ExternalSKU,Retail_ImageURL,Retail_IsRFID,Retail_Manufacturer,Retail_SKU,Retail_SKUOriginal,Retail_UOM,Retail_SKUDescription,Retail_Style,Retail_SubClassCode,Retail_SubClassName,Retail_GTIN,Retail_CompanyPrefix,Retail_Size,Retail_Brand,Retail_BusinessGroupName,Retail_BusinessGroupCode,Retail_SalesFloorTargetQty,Retail_FloorPadDesc,Retail_FloorPadID,Retail_GTINPosition_3_7,Retail_RangeActiveInd,Retail_RangeEnd,Retail_RangeStart,Retail_Active,Retail_PutAwayCode,Retail_BoxID,Retail_WideorRegularInd,tsMongoIn,source,tsCoreIn,tsEdgeIn,ViZix_Unused,Retail_MajorClassId,Retail_CustomerStyleId,Retail_MajorClassCode,Retail_MajorClassName,Retail_GTINPosition_2_8,Retail_GTINPosition_9_13,Retail_UPCNumber,Retail_FileName,Retail_Brand_Code,Retail_Style_Code,Retail_Weight_Gross_Unit,Retail_Weight_Gross_Value,Retail_Weight_Net_Unit,Retail_Weight_Net_Value,Retail_Update_Time,Retail_Option_Code,Retail_Option_Label,Retail_Season_Code,Retail_Season_Label,Retail_Season_Madein_Code,Retail_Season_Madein_Label,Retail_Mate_Bundle,Retail_Extension,Retail_Price,Retail_VPN,Retail_Product_Code,Retail_Recommendations,Retail_Color_Code,Retail_Size_Code,Retail_ImageURLDesktop,Retail_ImageURLMobile,Retail_GTINOriginal,Retail_Product_Description,Retail_SKUDescriptionFull,Retail_Type,Retail_Tax,Retail_Classification,Retail_Alternative,Retail_Xtra_idtSepSorter,Retail_Xtra_idtInstabSorter,Retail_CategoryCode,Retail_Category,Retail_History,Retail_SubStyle,Retail_Week,Retail_Year,Retail_PriceOriginal,Retail_ToBeDeletedFlag,minLifespanFromArrival,minLifespanFromProduction,minLifespanFromTimeOfPacking,expiringDaysBeforeExpiration
PRODUCT,03324921039824,03324921039824,>CENT,,0005,,AZUL,,,,,http://imgcentauro-a.akamaihd.net/900x900/51512304.jpg,false,,515123040005,515123040005,UN,ANTI VI BABOLAT,BOR VIBRATION SYSTEM,0188,ANTI VIBRADOR BOR BABOLAT VIBRATION SYST BABOLAT,03324921039824,,000,BABOLAT,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-09T00:00:04.735-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.573-0300,2020-09-09T00:00:04.383-0300,,,,,,,,,,1160,BOR VIBRATION SYSTEM,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,04,000,,,3324921039824,,ANTI VIBRADOR BOR BABOLAT VIBRATION SYST,R,0,3926.90.90,00051012,N,N,0102,RACKET,NSA,OTHER,37,20,0,false,,,,
PRODUCT,03324920150810,03324920150810,>CENT,,0005,,SORTIDA,,,,,http://imgcentauro-a.akamaihd.net/900x900/51621281.jpg,false,,516212810004,516212810004,KIT,GRIP BABOLAT,OVER XL KIT 653017,0260,GRIP BABOLAT OVER XL KIT 653017 BABOLAT,03324920150810,,000,BABOLAT,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:09.361-0300,SERVICES,2020-04-26T20:00:09.203-0300,2020-02-28T11:16:11.563-0300,,,,,,,,,,1160,OVER XL KIT 653017,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,81,000,,,3324920150810,,GRIP BABOLAT OVER XL KIT 653017,R,"0,0",56079090,00051022,N,N,0102,RACKET,NSA,NSA,"48,0",19,0,false,,,,
PRODUCT,00026388850396,00026388850396,>CENT,,0005,,BEGE,,,,,,false,,516696120002,516696120002,UND,CORDA WILSON,NYL SENSATION 16 IMP,0026,CORDA,00026388850396,,000,WILSON,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T19:59:42.501-0300,SERVICES,2020-04-26T19:59:42.407-0300,2020-02-28T11:15:15.909-0300,,,,,,,,,,0015,NYL SENSATION 16 IMP,,,,,,,,,,,,,,"[{""value"":39.9,""currency"":""USD"",""location"":""usa""}]",,,,12,000,,,026388850396,,CORDA NYL WILSON SENSATION 16 IMP,R,0.0,56075019,00051001,N,N,0102,RACKET,NSA,NSA,21.0,19,39.9,false,,,,
PRODUCT,03021504000003,03021504000003,>CENT,,0005,,BEGE,,,,,http://imgcentauro-a.akamaihd.net/900x900/51730912.jpg,false,,517309120006,517309120006,UN,ENCORDOA WILSON,CORDA EXT SYNT GUT16,0026,ENCORDOAMENTO CORDA WILSON EX SYNT GUT16 WILSON,03021504000003,,000,WILSON,ACESSORIOS,0004,,,,,,,,S,,,,2020-11-12T00:00:01.400-0300,FTPBRIDGEPRODUCTS,2020-11-12T00:00:01.256-0300,2020-11-12T00:00:00.850-0300,,,,,,,,,,0015,CORDA EXT SYNT GUT16,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,12,000,,,3021504000003,,ENCORDOAMENTO CORDA WILSON EX SYNT GUT16,R,0,9506.59.00,00051001,N,N,0102,RACKET,NSA,OTHER,46,20,0,false,,,,
PRODUCT,03021506000001,03021506000001,>CENT,,0005,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/51731200.jpg,false,,517312000005,517312000005,UN,ENCORDOAMENTO,ENCORDOAMENTO,0026,ENCORDOAMENTO NSA,03021506000001,,000,NSA,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-09T00:00:04.665-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.531-0300,2020-09-09T00:00:04.383-0300,,,,,,,,,,0000,ENCORDOAMENTO,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,000,,,3021506000001,,ENCORDOAMENTO,R,0,9506.59.00,00051001,N,N,0102,RACKET,NSA,OTHER,37,20,0,false,,,,
PRODUCT,00000051737812,00000051737812,>CENT,,0001,,BEGE,,,,,http://imgcentauro-a.akamaihd.net/900x900/51737812.jpg,false,,517378120006,517378120006,R 1,CORDA WILSON,ROLO EXT SYNT GUT 16,0789,CORDA ROLO WILSON EXTREME SYNTETI GUT 16 WILSON,00000051737812,,000,WILSON,INSUMOS,0011,,,,,,,,S,,,,2020-06-22T00:00:00.782-0300,FTPBRIDGEPRODUCTS,2020-06-22T00:00:00.691-0300,2020-06-22T00:00:00.530-0300,,,,,,,,,,0015,ROLO EXT SYNT GUT 16,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,12,000,,,00000051737812,,CORDA ROLO WILSON EXTREME SYNTETI GUT 16,R,0,5607.90.90,00050101,N,N,0109,REMANESCENTE,NSA,OTHER,25,20,0,false,,,,
PRODUCT,00000051737912,00000051737912,>CENT,,0001,,BEGE,,,,,http://imgcentauro-a.akamaihd.net/900x900/51737912.jpg,false,,517379120005,517379120005,R 2,CORDA WILSON,ROLO EXTREME NYL 16,0789,CORDA ROLO WILSON EXTREME NYL 16 MC WILSON,00000051737912,,000,WILSON,INSUMOS,0011,,,,,,,,S,,,,2020-06-22T00:00:00.728-0300,FTPBRIDGEPRODUCTS,2020-06-22T00:00:00.632-0300,2020-06-22T00:00:00.530-0300,,,,,,,,,,0015,ROLO EXTREME NYL 16,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,12,000,,,00000051737912,,CORDA ROLO WILSON EXTREME NYL 16 MC,R,0,5607.90.90,00050101,N,N,0109,REMANESCENTE,NSA,OTHER,25,20,0,false,,,,
PRODUCT,00045566131362,00045566131362,>CENT,,0005,,PRETO/AMARELO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51796533.jpg,false,,517965330009,517965330009,UN,BOLA SQU DUNLOP,BOR REV PRO 2 P AMAR,0178,BOLA SQU BOR DUNLOP REV PRO 2 P AMARELO DUNLOP,00045566131362,,000,DUNLOP,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-09T00:00:04.845-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.704-0300,2020-09-09T00:00:04.383-0300,,,,,,,,,,0013,BOR REV PRO 2 P AMAR,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,33,000,,,45566131362,,BOLA SQU BOR DUNLOP REV PRO 2 P AMARELO,R,0,9506.69.00,00054160,N,N,0102,RACKET,NSA,OTHER,37,20,0,false,,,,
PRODUCT,03022201000006,03022201000006,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51872202.jpg,false,,518722020003,518722020003,KIT,FIACAO CATEYE,ASTRALE CC CD100 KIT,1143,FIACAO PLA CATEYE ASTRALE CC CD100 KIT CATEYE,03022201000006,,000,CATEYE,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-09T00:00:04.923-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.650-0300,2020-09-09T00:00:04.383-0300,,,,,,,,,,1228,ASTRALE CC CD100 KIT,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,000,,,3022201000006,,FIACAO PLA CATEYE ASTRALE CC CD100 KIT,R,0,8714.99.90,00054695,N,N,0088,BIKE,NSA,OTHER,37,20,0,false,,,,
PRODUCT,03700378401900,03700378401900,>CENT,,0005,,BRANCO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51890501.jpg,false,,518905010005,518905010005,UN,FAIXA ADIDAS,GRADUACAO CM 280,0033,FAIXA GRADUACAO ALG ADIDAS CM 280 ADIDAS,03700378401900,,000,ADIDAS,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-09T00:00:04.768-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.616-0300,2020-09-09T00:00:04.383-0300,,,,,,,,,,0002,GRADUACAO CM 280,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,01,000,,,3700378401900,,FAIXA GRADUACAO ALG ADIDAS CM 280,R,0,6217.10.00,00051190,N,N,0037,ARTES MARCIAIS,NSA,OTHER,37,20,0,false,,,,
PRODUCT,03760078297579,03760078297579,>CENT,,0005,,AZUL,,,,,http://imgcentauro-a.akamaihd.net/900x900/51890504.jpg,false,,518905040002,518905040002,UND,FAIXA ADIDAS,GRADUACAO CM 280,0033,FAIXA GRADUACAO ALG ADIDAS CM 280 ADIDAS,03760078297579,,000,ADIDAS,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:12.797-0300,SERVICES,2020-04-26T20:00:12.695-0300,2020-02-28T11:16:14.062-0300,,,,,,,,,,0002,GRADUACAO CM 280,,,,,,,,,,,,,,"[{""value"":39.99,""currency"":""USD"",""location"":""usa""}]",,,,04,000,,,3760078297579,,FAIXA GRADUACAO ALG ADIDAS CM 280,R,"0,0",62171000,00051190,N,N,0037,ARTES MARCIAIS,NSA,NSA,"4,0",20,39.99,false,,,,
PRODUCT,03700378402167,03700378402167,>CENT,,0005,,VERMELHO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51890506.jpg,false,,518905060000,518905060000,UND,FAIXA ADIDAS,GRADUACAO CM 280,0033,FAIXA GRADUACAO ALG ADIDAS CM 280 ADIDAS,03700378402167,,000,ADIDAS,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:12.047-0300,SERVICES,2020-04-26T20:00:11.873-0300,2020-02-28T11:16:13.579-0300,,,,,,,,,,0002,GRADUACAO CM 280,,,,,,,,,,,,,,"[{""value"":39.99,""currency"":""USD"",""location"":""usa""}]",,,,06,000,,,3700378402167,,FAIXA GRADUACAO ALG ADIDAS CM 280,R,"0,0",62171000,00051190,N,N,0037,ARTES MARCIAIS,NSA,NSA,"4,0",20,39.99,false,,,,
PRODUCT,03700378402051,03700378402051,>CENT,,0005,,VERDE,,,,,http://imgcentauro-a.akamaihd.net/900x900/51890507.jpg,false,,518905070009,518905070009,UND,FAIXA ADIDAS,GRADUACAO CM 280,0033,FAIXA GRADUACAO ALG ADIDAS CM 280 ADIDAS,03700378402051,,000,ADIDAS,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:12.339-0300,SERVICES,2020-04-26T20:00:12.165-0300,2020-02-28T11:16:13.579-0300,,,,,,,,,,0002,GRADUACAO CM 280,,,,,,,,,,,,,,"[{""value"":39.99,""currency"":""USD"",""location"":""usa""}]",,,,07,000,,,3700378402051,,FAIXA GRADUACAO ALG ADIDAS CM 280,R,"0,0",62171000,00051190,N,N,0037,ARTES MARCIAIS,NSA,NSA,"4,0",20,39.99,false,,,,
PRODUCT,03700378401955,03700378401955,>CENT,,0005,,AMARELO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51890508.jpg,false,,518905080008,518905080008,UND,FAIXA ADIDAS,GRADUACAO CM 280,0033,FAIXA GRADUACAO ALG ADIDAS CM 280 ADIDAS,03700378401955,,000,ADIDAS,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:12.294-0300,SERVICES,2020-04-26T20:00:12.137-0300,2020-02-28T11:16:13.579-0300,,,,,,,,,,0002,GRADUACAO CM 280,,,,,,,,,,,,,,"[{""value"":39.99,""currency"":""USD"",""location"":""usa""}]",,,,08,000,,,3700378401955,,FAIXA GRADUACAO ALG ADIDAS CM 280,R,"0,0",62171000,00051190,N,N,0037,ARTES MARCIAIS,NSA,NSA,"4,0",20,39.99,false,,,,
PRODUCT,03700378402006,03700378402006,>CENT,,0005,,LARANJA,,,,,http://imgcentauro-a.akamaihd.net/900x900/51890511.jpg,false,,518905110002,518905110002,UND,FAIXA ADIDAS,GRADUACAO CM 280,0033,FAIXA GRADUACAO ALG ADIDAS CM 280 ADIDAS,03700378402006,,000,ADIDAS,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:12.355-0300,SERVICES,2020-04-26T20:00:12.166-0300,2020-02-28T11:16:13.579-0300,,,,,,,,,,0002,GRADUACAO CM 280,,,,,,,,,,,,,,"[{""value"":39.99,""currency"":""USD"",""location"":""usa""}]",,,,11,000,,,3700378402006,,FAIXA GRADUACAO ALG ADIDAS CM 280,R,"0,0",62171000,00051190,N,N,0037,ARTES MARCIAIS,NSA,NSA,"4,0",20,39.99,false,,,,
PRODUCT,03700378402211,03700378402211,>CENT,,0005,,MARROM,,,,,http://imgcentauro-a.akamaihd.net/900x900/51890515.jpg,false,,518905150008,518905150008,UND,FAIXA ADIDAS,GRADUACAO CM 280,0033,FAIXA GRADUACAO ALG ADIDAS CM 280 ADIDAS,03700378402211,,000,ADIDAS,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:12.023-0300,SERVICES,2020-04-26T20:00:11.853-0300,2020-02-28T11:16:13.579-0300,,,,,,,,,,0002,GRADUACAO CM 280,,,,,,,,,,,,,,"[{""value"":39.99,""currency"":""USD"",""location"":""usa""}]",,,,15,000,,,3700378402211,,FAIXA GRADUACAO ALG ADIDAS CM 280,R,"0,0",62171000,00051190,N,N,0037,ARTES MARCIAIS,NSA,NSA,"4,0",20,39.99,false,,,,
PRODUCT,00886737667743,00886737667743,>CENT,,0001,,BRANCO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943901.jpg,false,,519439012015,519439012015,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00886737667743,,PP,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-20T00:02:20.949-0300,FTPBRIDGEPRODUCTS,2020-07-20T00:01:35.833-0300,2020-07-20T00:01:18.275-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,01,201,,,886737667743,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,"0,0",95069900,00050075,N,N,0010,FUTEBOL,NSA,NSA,"28,0",20,0,false,,,,
PRODUCT,00676556838871,00676556838871,>CENT,,0001,,BRANCO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943901.jpg,false,,519439012022,519439012022,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00676556838871,,P,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-10-26T00:00:01.649-0300,FTPBRIDGEPRODUCTS,2020-10-26T00:00:01.543-0300,2020-10-26T00:00:01.414-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,01,202,,,676556838871,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,43,20,0,false,,,,
PRODUCT,00676556838888,00676556838888,>CENT,,0001,,BRANCO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943901.jpg,false,,519439012039,519439012039,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00676556838888,,M,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-11-12T00:00:01.437-0300,FTPBRIDGEPRODUCTS,2020-11-12T00:00:01.279-0300,2020-11-12T00:00:00.850-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,01,203,,,676556838888,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,46,20,0,false,,,,
PRODUCT,00676556838895,00676556838895,>CENT,,0001,,BRANCO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943901.jpg,false,,519439012046,519439012046,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00676556838895,,G,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-11-12T00:00:04.449-0300,FTPBRIDGEPRODUCTS,2020-11-12T00:00:01.452-0300,2020-11-12T00:00:00.850-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,01,204,,,676556838895,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,46,20,0,false,,,,
PRODUCT,00883419968563,00883419968563,>CENT,,0001,,BRANCO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943901.jpg,false,,519439012053,519439012053,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00883419968563,,GG,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-20T00:02:23.525-0300,FTPBRIDGEPRODUCTS,2020-07-20T00:02:06.571-0300,2020-07-20T00:01:15.025-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,01,205,,,883419968563,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,"0,0",95069900,00050075,N,N,0010,FUTEBOL,NSA,NSA,"28,0",20,0,false,,,,
PRODUCT,00826215368304,00826215368304,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439022014,519439022014,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368304,,PP,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-20T00:02:10.058-0300,FTPBRIDGEPRODUCTS,2020-07-20T00:01:23.945-0300,2020-07-20T00:01:13.742-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,201,,,826215368304,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,"0,0",95069900,00050075,N,N,0010,FUTEBOL,NSA,NSA,"28,0",20,0,false,,,,
PRODUCT,00826215368311,00826215368311,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439022021,519439022021,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368311,,P,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-10-23T00:00:09.189-0300,FTPBRIDGEPRODUCTS,2020-10-23T00:00:03.629-0300,2020-10-23T00:00:02.694-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,202,,,826215368311,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,43,20,0,false,,,,
PRODUCT,00826215368328,00826215368328,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439022038,519439022038,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368328,,M,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-21T00:00:07.802-0300,FTPBRIDGEPRODUCTS,2020-09-21T00:00:01.492-0300,2020-09-21T00:00:01.299-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,203,,,826215368328,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,38,20,0,false,,,,
PRODUCT,00826215368335,00826215368335,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439022045,519439022045,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368335,,G,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-21T00:00:04.342-0300,FTPBRIDGEPRODUCTS,2020-09-21T00:00:01.396-0300,2020-09-21T00:00:01.299-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,204,,,826215368335,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,38,20,0,false,,,,
PRODUCT,00826215368533,00826215368533,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439022052,519439022052,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368533,,GG,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-20T00:02:48.161-0300,FTPBRIDGEPRODUCTS,2020-07-20T00:01:32.897-0300,2020-07-20T00:01:13.742-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,205,,,826215368533,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,"0,0",95069900,00050075,N,N,0010,FUTEBOL,NSA,NSA,"28,0",20,0,false,,,,
PRODUCT,00826215368540,00826215368540,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439022069,519439022069,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368540,,EX,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-20T00:02:25.642-0300,FTPBRIDGEPRODUCTS,2020-07-20T00:01:30.173-0300,2020-07-20T00:01:13.742-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,206,,,826215368540,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,"0,0",95069900,00050075,N,N,0010,FUTEBOL,NSA,NSA,"28,0",20,0,false,,,,
PRODUCT,00826215368557,00826215368557,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439024940,519439024940,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368557,,XG,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-20T00:02:21.241-0300,FTPBRIDGEPRODUCTS,2020-07-20T00:01:21.425-0300,2020-07-20T00:01:13.742-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,494,,,826215368557,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,"0,0",95069900,00050075,N,N,0010,FUTEBOL,NSA,NSA,"28,0",20,0,false,,,,
PRODUCT,00826215368564,00826215368564,>CENT,,0001,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943902.jpg,false,,519439024957,519439024957,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00826215368564,,XGG,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-07-20T00:02:04-0300,FTPBRIDGEPRODUCTS,2020-07-20T00:01:27.537-0300,2020-07-20T00:01:13.742-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,02,495,,,826215368564,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,"0,0",95069900,00050075,N,N,0010,FUTEBOL,NSA,NSA,"28,0",20,0,false,,,,
PRODUCT,00886736035246,00886736035246,>CENT,,0001,,AZUL,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943904.jpg,false,,519439042012,519439042012,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00886736035246,,PP,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-10-16T00:11:45.010-0300,FTPBRIDGEPRODUCTS,2020-10-16T00:07:30.099-0300,2020-10-16T00:00:02.446-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,04,201,,,886736035246,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,42,20,0,false,,,,
PRODUCT,00886736035253,00886736035253,>CENT,,0001,,AZUL,,,,,http://imgcentauro-a.akamaihd.net/900x900/51943904.jpg,false,,519439042029,519439042029,PAR,CANELEIRA NIKE,PLA J GUARD SP0040,1070,CANELEIRA PLA NIKE J GUARD SP0040 IMP NIKE,00886736035253,,P,NIKE,ACESSORIOS,0004,,,,,,,,S,,,,2020-09-16T00:00:05.232-0300,FTPBRIDGEPRODUCTS,2020-09-16T00:00:02.046-0300,2020-09-16T00:00:01.841-0300,,,,,,,,,,0073,PLA J GUARD SP0040,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,04,202,,,886736035253,,CANELEIRA PLA NIKE J GUARD SP0040 IMP,R,0,9506.99.00,00050075,N,N,0010,FUTEBOL,NSA,OTHER,38,20,0,false,,,,
