Thing Type Code,Thing Serial,Thing Name,Owner Group,Alias Config,Retail_ClassCode,Retail_ClassName,Retail_Color,Retail_DepartmentName,Retail_DepartmentCode,Retail_Dimension,Retail_ExternalSKU,Retail_ImageURL,Retail_IsRFID,Retail_Manufacturer,Retail_SKU,Retail_SKUOriginal,Retail_UOM,Retail_SKUDescription,Retail_Style,Retail_SubClassCode,Retail_SubClassName,Retail_GTIN,Retail_CompanyPrefix,Retail_Size,Retail_Brand,Retail_BusinessGroupName,Retail_BusinessGroupCode,Retail_SalesFloorTargetQty,Retail_FloorPadDesc,Retail_FloorPadID,Retail_GTINPosition_3_7,Retail_RangeActiveInd,Retail_RangeEnd,Retail_RangeStart,Retail_Active,Retail_PutAwayCode,Retail_BoxID,Retail_WideorRegularInd,tsMongoIn,source,tsCoreIn,tsEdgeIn,ViZix_Unused,Retail_MajorClassId,Retail_CustomerStyleId,Retail_MajorClassCode,Retail_MajorClassName,Retail_GTINPosition_2_8,Retail_GTINPosition_9_13,Retail_UPCNumber,Retail_FileName,Retail_Brand_Code,Retail_Style_Code,Retail_Weight_Gross_Unit,Retail_Weight_Gross_Value,Retail_Weight_Net_Unit,Retail_Weight_Net_Value,Retail_Update_Time,Retail_Option_Code,Retail_Option_Label,Retail_Season_Code,Retail_Season_Label,Retail_Season_Madein_Code,Retail_Season_Madein_Label,Retail_Mate_Bundle,Retail_Extension,Retail_Price,Retail_VPN,Retail_Product_Code,Retail_Recommendations,Retail_Color_Code,Retail_Size_Code,Retail_ImageURLDesktop,Retail_ImageURLMobile,Retail_GTINOriginal,Retail_Product_Description,Retail_SKUDescriptionFull,Retail_Type,Retail_Tax,Retail_Classification,Retail_Alternative,Retail_Xtra_idtSepSorter,Retail_Xtra_idtInstabSorter,Retail_CategoryCode,Retail_Category,Retail_History,Retail_SubStyle,Retail_Week,Retail_Year,Retail_PriceOriginal,Retail_ToBeDeletedFlag,minLifespanFromArrival,minLifespanFromProduction,minLifespanFromTimeOfPacking,expiringDaysBeforeExpiration
PRODUCT,03017918000005,03017918000005,>CENT,,0001,,AZUL,,,,,http://imgcentauro-a.akamaihd.net/900x900/50905304.jpg,false,,509053040006,509053040006,PAR,MEIAO HEL NIKE,BASIC SWOOSH 563641,0251,MEIAO HELANCA NIKE BASIC SWOOSH 563641 NIKE,03017918000005,,000,NIKE,MEIAS,0002,,,,,,,,S,,,,2020-09-09T00:00:04.884-0300,FTPBRIDGEPRODUCTS,2020-09-09T00:00:04.612-0300,2020-09-09T00:00:04.382-0300,,,,,,,,,,0073,BASIC SWOOSH 563641,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,04,000,,,3017918000005,,MEIAO HELANCA NIKE BASIC SWOOSH 563641,R,0,6115.10.92,00054083,N,N,0010,FUTEBOL,NSA,OTHER,37,20,0,false,,,,
PRODUCT,03017922000008,03017922000008,>CENT,,0001,,BRANCO/PRETO,,,,,,false,,509053510004,509053510004,PAR,MEIAO HEL NIKE,BASIC SWOOSH 563641,0251,MEIAO,03017922000008,,000,NIKE,MEIAS,0002,,,,,,,,S,,,,2020-04-26T20:00:09.356-0300,SERVICES,2020-04-26T20:00:09.201-0300,2020-02-28T11:16:11.462-0300,,,,,,,,,,0073,BASIC SWOOSH 563641,,,,,,,,,,,,,,"[{""value"":12.9,""currency"":""USD"",""location"":""usa""}]",,,,51,000,,,3017922000008,,MEIAO HELANCA NIKE BASIC SWOOSH 563641,R,0.0,61151092,00050045,S,S,0010,FUTEBOL,NSA,NSA,23.0,19,12.9,false,,,,
PRODUCT,00078914678905,00078914678905,>CENT,,0005,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/50978800.jpg,false,,509788000009,509788000009,UN,OVERGRIP UNIQUE,OVER SAMPRAS,0260,OVERGRIP UNIQUE OVER SAMPRAS UNIQUE,00078914678905,,000,UNIQUE,ACESSORIOS,0004,,,,,,,,S,,,,2020-10-23T00:00:08.981-0300,FTPBRIDGEPRODUCTS,2020-10-23T00:00:04.352-0300,2020-10-23T00:00:02.694-0300,,,,,,,,,,0199,OVER SAMPRAS,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,000,,,78914678905,,OVERGRIP UNIQUE OVER SAMPRAS,R,0,5806.20.00,00054157,N,N,0102,RACKET,NSA,OTHER,43,20,0,false,,,,
PRODUCT,00000051002151,00000051002151,>CENT,,0001,,BRANCO/PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51002151.jpg,false,,510021512036,510021512036,PAR,MEIAO PENALTY,HELANCA,0251,MEIAO HELANCA PENALTY PENALTY,00000051002151,,M,PENALTY,MEIAS,0002,,,,,,,,S,,,,2020-06-22T00:00:00.860-0300,FTPBRIDGEPRODUCTS,2020-06-22T00:00:00.691-0300,2020-06-22T00:00:00.530-0300,,,,,,,,,,0081,HELANCA,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,51,203,,,00000051002151,,MEIAO HELANCA PENALTY,R,0,6115.10.92,00054070,N,N,0010,FUTEBOL,NSA,OTHER,25,20,0,false,,,,
PRODUCT,03019056000008,03019056000008,>CENT,,0001,,AZUL,,,,,,false,,510723040004,510723040004,PAR,MEIAO PENALTY,HELANCA BRASIL,0251,MEIAO,03019056000008,,000,PENALTY,MEIAS,0002,,,,,,,,S,,,,2020-04-26T20:00:09.385-0300,SERVICES,2020-04-26T20:00:09.262-0300,2020-02-28T11:16:11.462-0300,,,,,,,,,,0081,HELANCA BRASIL,,,,,,,,,,,,,,"[{""value"":6.99,""currency"":""USD"",""location"":""usa""}]",,,,04,000,,,3019056000008,,MEIAO HELANCA PENALTY BRASIL,R,0.0,61151092,00050007,S,S,0010,FUTEBOL,NSA,NSA,23.0,19,6.99,false,,,,
PRODUCT,00820019265562,00820019265562,>CENT,,0001,,BRANCO/ROSA CLA,,,,,,false,,5108920E0008,5108920E0008,PAR,MEIA ALG ADIDAS,SOQUETE CORPORATE W,0081,MEIA,00820019265562,,000,ADIDAS,MEIAS,0002,,,,,,,,S,,,,2020-04-26T19:59:48.928-0300,SERVICES,2020-04-26T19:59:48.867-0300,2020-02-28T11:15:24.341-0300,,,,,,,,,,0002,SOQUETE CORPORATE W,,,,,,,,,,,,,,"[{""value"":3.9,""currency"":""USD"",""location"":""usa""}]",,,,0E,000,,,0820019265562,,MEIA ALGODAO ADIDAS SOQUETE CORPORATE W,R,0.0,61153020,00050050,N,N,0011,MEIAS,NSA,NSA,22.0,19,3.9,false,,,,
PRODUCT,00000051298000,00000051298000,>CENT,,0001,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/51298000.jpg,false,,512980000005,512980000005,PAR,MEIAO HEL ASICS,AGRUP SQ,0251,MEIAO HELANCA ASICS AGRUP SQ ASICS,00000051298000,,000,ASICS,MEIAS,0002,,,,,,,,S,,,,2020-06-22T00:00:00.816-0300,FTPBRIDGEPRODUCTS,2020-06-22T00:00:00.632-0300,2020-06-22T00:00:00.530-0300,,,,,,,,,,0005,AGRUP SQ,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,000,,,00000051298000,,MEIAO HELANCA ASICS AGRUP SQ,R,0,6115.10.92,00050045,N,N,0010,FUTEBOL,NSA,OTHER,25,20,0,false,,,,
PRODUCT,03019849000000,03019849000000,>CENT,,0003,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/51340900.jpg,false,,513409000002,513409000002,UN,PETECA BONFIM,COLORIDA OFI,1461,PETECA BONFIM COLORIDA OFI BONFIM,03019849000000,,000,BONFIM,ACESSORIOS,0004,,,,,,,,S,,,,2020-10-23T00:00:11.082-0300,FTPBRIDGEPRODUCTS,2020-10-23T00:00:05.594-0300,2020-10-23T00:00:02.694-0300,,,,,,,,,,0050,COLORIDA OFI,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,000,,,3019849000000,,PETECA BONFIM COLORIDA OFI,R,0,9503.00.99,00054640,N,N,0016,LIFESTYLE,NSA,OTHER,43,20,0,false,,,,
PRODUCT,00886736228457,00886736228457,>CENT,,0001,,BRANCO,,,,,,false,,514022010003,514022010003,KIT,KIT MEIA NIKE,SWO MED SX3572 KIT 3,0700,KIT MEIA,00886736228457,,000,NIKE,MEIAS,0002,,,,,,,,S,,,,2020-04-26T19:59:59.151-0300,SERVICES,2020-04-26T19:59:59.034-0300,2020-02-28T11:15:30.373-0300,,,,,,,,,,0073,SWO MED SX3572 KIT 3,,,,,,,,,,,,,,"[{""value"":34.99,""currency"":""USD"",""location"":""usa""}]",,,,01,000,,,886736228457,,KIT MEIA NIKE ALG SWOOS MED SX3572 KIT 3,R,0.0,61159500,00052674,N,N,0011,MEIAS,NSA,NSA,23.0,19,34.99,false,,,,
PRODUCT,00886736228440,00886736228440,>CENT,,0001,,PRETO,,,,,,false,,514022020008,514022020008,KIT,KIT MEIA NIKE,SWO MED SX3572 KIT 3,0700,KIT MEIA,00886736228440,,000,NIKE,MEIAS,0002,,,,,,,,S,,,,2020-04-26T19:59:59.098-0300,SERVICES,2020-04-26T19:59:58.853-0300,2020-02-28T11:15:30.373-0300,,,,,,,,,,0073,SWO MED SX3572 KIT 3,,,,,,,,,,,,,,"[{""value"":34.99,""currency"":""USD"",""location"":""usa""}]",,,,02,000,,,886736228440,,KIT MEIA NIKE ALG SWOOS MED SX3572 KIT 3,R,0.0,61159500,00052674,N,N,0011,MEIAS,NSA,NSA,23.0,19,34.99,false,,,,
PRODUCT,00886736228518,00886736228518,>CENT,,0001,,BRANCO,,,,,,false,,514076010004,514076010004,KIT,KIT MEIA NIKE,SWO SX3575,0700,KIT MEIA,00886736228518,,000,NIKE,MEIAS,0002,,,,,,,,S,,,,2020-04-26T19:59:59.095-0300,SERVICES,2020-04-26T19:59:58.928-0300,2020-02-28T11:15:30.373-0300,,,,,,,,,,0073,SWO SX3575,,,,,,,,,,,,,,"[{""value"":34.99,""currency"":""USD"",""location"":""usa""}]",,,,01,000,,,886736228518,,KIT MEIA NIKE SWOOSH SX3575,R,0.0,61159500,00052674,N,N,0011,MEIAS,NSA,NSA,23.0,19,34.99,false,,,,
PRODUCT,00666032687987,00666032687987,>CENT,,0002,,BRANCO,,,,,,false,,514236010004,514236010004,KIT,KIT MEIA NIKE,SW MED SX3648 KIT3 W,0700,KIT MEIA,00666032687987,,000,NIKE,MEIAS,0002,,,,,,,,S,,,,2020-04-26T19:59:48.210-0300,SERVICES,2020-04-26T19:59:48.050-0300,2020-02-28T11:15:23.773-0300,,,,,,,,,,0073,SW MED SX3648 KIT3 W,,,,,,,,,,,,,,"[{""value"":34.99,""currency"":""USD"",""location"":""usa""}]",,,,01,000,,,666032687987,,KIT MEIA NIKE SWOOSH MEDIO SX3648 KIT3 W,R,0.0,61159500,00052707,S,S,0011,MEIAS,NSA,NSA,15.0,19,34.99,false,,,,
PRODUCT,03020528000006,03020528000006,>CENT,,0001,,PRETO/BRANCO,,,,,,false,,514513310001,514513310001,PAR,MEIA ALG NIKE,QUARTER SX4107 M,0081,MEIA,03020528000006,,000,NIKE,MEIAS,0002,,,,,,,,S,,,,2020-04-26T20:00:09.615-0300,SERVICES,2020-04-26T20:00:09.471-0300,2020-02-28T11:16:11.462-0300,,,,,,,,,,0073,QUARTER SX4107 M,,,,,,,,,,,,,,"[{""value"":14.99,""currency"":""USD"",""location"":""usa""}]",,,,31,000,,,3020528000006,,MEIA ALG NIKE QUARTER SX4107 M,R,0.0,61159500,00050050,N,N,0011,MEIAS,NSA,NSA,20.0,19,14.99,false,,,,
PRODUCT,01506314000006,01506314000006,>CENT,,0005,,NAO SE APLICA,,,,,http://imgcentauro-a.akamaihd.net/900x900/51467100.jpg,false,,514671003128,514671003128,UND,ANILHA JAGUAR,FERRO 5 KG,1447,ANILHA FERRO JAGUAR 5 KG JAGUAR,01506314000006,,5KG,JAGUAR,EQUIPAMENTOS,0010,,,,,,,,S,,,,2020-04-26T20:00:09.090-0300,SERVICES,2020-04-26T20:00:08.926-0300,2020-04-03T22:38:21.583-0300,,,,,,,,,,0008,FERRO 5 KG,,,,,,,,,,,,,,"[{""value"":0,""currency"":""USD"",""location"":""usa""}]",,,,00,312,,,1506314000006,,ANILHA FERRO JAGUAR 5 KG,R,"0,0",95069100,00054175,N,N,0006,PERFORMANCE,NSA,NSA,"13,0",20,0,false,,,,
PRODUCT,03324921039831,03324921039831,>CENT,,0005,,PRETO,,,,,http://imgcentauro-a.akamaihd.net/900x900/51512302.jpg,false,,515123020007,515123020007,UND,ANTI VI BABOLAT,BOR VIBRATION SYSTEM,0188,ANTI VIBRADOR BOR BABOLAT VIBRATION SYST BABOLAT,03324921039831,,000,BABOLAT,ACESSORIOS,0004,,,,,,,,S,,,,2020-04-26T20:00:09.647-0300,SERVICES,2020-04-26T20:00:09.520-0300,2020-02-28T11:16:11.564-0300,,,,,,,,,,1160,BOR VIBRATION SYSTEM,,,,,,,,,,,,,,"[{""value"":59.99,""currency"":""USD"",""location"":""usa""}]",,,,02,000,,,3324921039831,,ANTI VIBRADOR BOR BABOLAT VIBRATION SYST,R,"0,0",39269090,00051012,s,S,0102,RACKET,NSA,NSA,"51,0",19,59.99,false,,,,
